======================================================================
              Evolutionary Snake AI - Training
======================================================================

Configuration:
  Grid: 8x8
  Population: 2000
  Generations: 5000
  Games per evaluation: 3
  Network growth: ENABLED
    Start: 1 layers, 16-24 neurons each
    Growth threshold: score >= 4
    Plateau detection: 500 generations
  Mutation rate: 0.2
  Crossover rate: 0.7

Random seed: 1768933024

Gen  150 | Best Fitness:  7030.40 | Avg Fitness:   789.63 | Best Score:  23
  -> Gen 150 completed in 0.11s | Networks: min=16 max=80 avg=65
Gen  151 | Best Fitness:  6093.80 | Avg Fitness:   785.67 | Best Score:  23
Gen  152 | Best Fitness:  7149.60 | Avg Fitness:   828.75 | Best Score:  23
Gen  153 | Best Fitness:  7949.00 | Avg Fitness:   843.51 | Best Score:  23
Gen  154 | Best Fitness:  7823.50 | Avg Fitness:   840.86 | Best Score:  23
Gen  155 | Best Fitness:  8557.99 | Avg Fitness:   858.57 | Best Score:  23
Gen  156 | Best Fitness:  7427.80 | Avg Fitness:   813.88 | Best Score:  23
Gen  157 | Best Fitness:  8017.80 | Avg Fitness:   828.17 | Best Score:  23
Gen  158 | Best Fitness:  7548.10 | Avg Fitness:   822.01 | Best Score:  23
Gen  159 | Best Fitness:  8427.80 | Avg Fitness:   826.53 | Best Score:  23
  *** NEW RECORD: 24 (was 23) | Seed: 1780324024 ***
Gen  160 | Best Fitness:  7167.97 | Avg Fitness:   847.87 | Best Score:  24
Gen  161 | Best Fitness:  7418.60 | Avg Fitness:   835.95 | Best Score:  24
Gen  162 | Best Fitness:  7840.60 | Avg Fitness:   823.88 | Best Score:  24
Gen  163 | Best Fitness:  7194.80 | Avg Fitness:   812.99 | Best Score:  24
Gen  164 | Best Fitness:  7185.00 | Avg Fitness:   816.29 | Best Score:  24
Gen  165 | Best Fitness:  8251.60 | Avg Fitness:   797.18 | Best Score:  24
Gen  166 | Best Fitness:  6633.90 | Avg Fitness:   840.52 | Best Score:  24
Gen  167 | Best Fitness:  7331.10 | Avg Fitness:   877.37 | Best Score:  24
Gen  168 | Best Fitness:  9236.80 | Avg Fitness:   849.38 | Best Score:  24
Gen  169 | Best Fitness: 10351.10 | Avg Fitness:   888.32 | Best Score:  24
Gen  170 | Best Fitness:  7885.70 | Avg Fitness:   916.59 | Best Score:  24
Gen  171 | Best Fitness:  8926.00 | Avg Fitness:   891.93 | Best Score:  24
Gen  172 | Best Fitness: 11048.00 | Avg Fitness:   940.53 | Best Score:  24
Gen  173 | Best Fitness:  8855.00 | Avg Fitness:   914.01 | Best Score:  24
Gen  174 | Best Fitness:  8639.70 | Avg Fitness:   912.36 | Best Score:  24
Gen  175 | Best Fitness:  8998.30 | Avg Fitness:   920.85 | Best Score:  24
Gen  176 | Best Fitness:  9335.10 | Avg Fitness:   897.60 | Best Score:  24
Gen  177 | Best Fitness: 10591.80 | Avg Fitness:   958.91 | Best Score:  24
Gen  178 | Best Fitness: 10402.20 | Avg Fitness:  1016.50 | Best Score:  24
Gen  179 | Best Fitness: 11816.50 | Avg Fitness:  1029.34 | Best Score:  24
  *** NEW RECORD: 27 (was 24) | Seed: 1768954024 ***
Gen  180 | Best Fitness: 12129.10 | Avg Fitness:  1063.92 | Best Score:  27
Gen  181 | Best Fitness: 13291.00 | Avg Fitness:  1078.31 | Best Score:  27
Gen  182 | Best Fitness: 13877.30 | Avg Fitness:  1091.54 | Best Score:  27
Gen  183 | Best Fitness: 12118.00 | Avg Fitness:  1030.79 | Best Score:  27
Gen  184 | Best Fitness: 12118.00 | Avg Fitness:  1112.00 | Best Score:  27
Gen  185 | Best Fitness: 12118.00 | Avg Fitness:  1071.83 | Best Score:  27
Gen  186 | Best Fitness: 12118.00 | Avg Fitness:  1112.33 | Best Score:  27
Gen  187 | Best Fitness: 12118.00 | Avg Fitness:  1095.61 | Best Score:  27
Gen  188 | Best Fitness: 12118.00 | Avg Fitness:  1129.75 | Best Score:  27
Gen  189 | Best Fitness: 12118.00 | Avg Fitness:  1150.05 | Best Score:  27
Gen  190 | Best Fitness: 12118.00 | Avg Fitness:  1162.54 | Best Score:  27
Gen  191 | Best Fitness: 13378.70 | Avg Fitness:  1107.76 | Best Score:  27
Gen  192 | Best Fitness: 10148.00 | Avg Fitness:  1089.89 | Best Score:  27
Gen  193 | Best Fitness:  9583.20 | Avg Fitness:  1129.09 | Best Score:  27
Gen  194 | Best Fitness: 10410.00 | Avg Fitness:  1100.43 | Best Score:  27
Gen  195 | Best Fitness: 11862.90 | Avg Fitness:  1085.59 | Best Score:  27
Gen  196 | Best Fitness: 12874.00 | Avg Fitness:  1110.63 | Best Score:  27
Gen  197 | Best Fitness: 10768.00 | Avg Fitness:  1102.65 | Best Score:  27
  *** NEW RECORD: 30 (was 27) | Seed: 1783103024 ***
Gen  198 | Best Fitness: 13578.50 | Avg Fitness:  1147.02 | Best Score:  30
Gen  199 | Best Fitness: 10539.50 | Avg Fitness:  1113.85 | Best Score:  30
Gen  200 | Best Fitness: 11133.60 | Avg Fitness:  1061.44 | Best Score:  30
  -> Saved checkpoint to best_agent.json
  -> Gen 200 completed in 0.13s | Networks: min=16 max=80 avg=66
Gen  201 | Best Fitness: 13038.40 | Avg Fitness:  1057.60 | Best Score:  30
Gen  202 | Best Fitness: 10486.10 | Avg Fitness:  1096.88 | Best Score:  30
Gen  203 | Best Fitness: 11896.60 | Avg Fitness:  1091.90 | Best Score:  30
Gen  204 | Best Fitness: 12202.70 | Avg Fitness:  1072.08 | Best Score:  30
Gen  205 | Best Fitness: 12274.70 | Avg Fitness:  1109.43 | Best Score:  30
Gen  206 | Best Fitness: 11191.00 | Avg Fitness:  1108.75 | Best Score:  30
Gen  207 | Best Fitness: 11933.10 | Avg Fitness:  1134.67 | Best Score:  30
Gen  208 | Best Fitness: 10277.20 | Avg Fitness:  1149.31 | Best Score:  30
Gen  209 | Best Fitness: 11818.00 | Avg Fitness:  1166.13 | Best Score:  30
Gen  210 | Best Fitness: 15266.20 | Avg Fitness:  1256.27 | Best Score:  30
Gen  211 | Best Fitness: 11245.20 | Avg Fitness:  1320.96 | Best Score:  30
Gen  212 | Best Fitness: 11954.20 | Avg Fitness:  1402.81 | Best Score:  30
Gen  213 | Best Fitness: 13710.00 | Avg Fitness:  1433.83 | Best Score:  30
Gen  214 | Best Fitness: 12183.50 | Avg Fitness:  1453.20 | Best Score:  30
Gen  215 | Best Fitness: 10895.00 | Avg Fitness:  1510.64 | Best Score:  30
Gen  216 | Best Fitness: 15225.10 | Avg Fitness:  1513.02 | Best Score:  30
Gen  217 | Best Fitness: 14822.30 | Avg Fitness:  1434.66 | Best Score:  30
Gen  218 | Best Fitness: 13929.20 | Avg Fitness:  1427.37 | Best Score:  30
Gen  219 | Best Fitness: 12988.40 | Avg Fitness:  1472.06 | Best Score:  30
Gen  220 | Best Fitness: 13109.70 | Avg Fitness:  1490.86 | Best Score:  30
Gen  221 | Best Fitness: 12990.60 | Avg Fitness:  1526.34 | Best Score:  30
Gen  222 | Best Fitness: 15618.20 | Avg Fitness:  1600.92 | Best Score:  30
Gen  223 | Best Fitness: 12659.90 | Avg Fitness:  1640.55 | Best Score:  30
Gen  224 | Best Fitness: 13678.90 | Avg Fitness:  1539.43 | Best Score:  30
Gen  225 | Best Fitness: 14734.40 | Avg Fitness:  1594.02 | Best Score:  30
Gen  226 | Best Fitness: 16018.40 | Avg Fitness:  1614.40 | Best Score:  30
Gen  227 | Best Fitness: 12890.20 | Avg Fitness:  1594.20 | Best Score:  30
Gen  228 | Best Fitness: 11790.30 | Avg Fitness:  1459.42 | Best Score:  30
Gen  229 | Best Fitness: 12580.70 | Avg Fitness:  1479.74 | Best Score:  30
Gen  230 | Best Fitness: 12968.10 | Avg Fitness:  1475.54 | Best Score:  30
Gen  231 | Best Fitness: 13005.30 | Avg Fitness:  1435.28 | Best Score:  30
Gen  232 | Best Fitness: 15161.40 | Avg Fitness:  1491.64 | Best Score:  30
Gen  233 | Best Fitness: 14124.70 | Avg Fitness:  1478.10 | Best Score:  30
Gen  234 | Best Fitness: 15555.80 | Avg Fitness:  1499.91 | Best Score:  30
Gen  235 | Best Fitness: 14072.10 | Avg Fitness:  1490.57 | Best Score:  30
Gen  236 | Best Fitness: 18361.40 | Avg Fitness:  1484.90 | Best Score:  30
Gen  237 | Best Fitness: 15348.40 | Avg Fitness:  1544.13 | Best Score:  30
Gen  238 | Best Fitness: 14120.70 | Avg Fitness:  1589.71 | Best Score:  30
Gen  239 | Best Fitness: 12869.40 | Avg Fitness:  1547.08 | Best Score:  30
Gen  240 | Best Fitness: 16293.00 | Avg Fitness:  1493.15 | Best Score:  30
Gen  241 | Best Fitness: 15657.20 | Avg Fitness:  1488.03 | Best Score:  30
Gen  242 | Best Fitness: 14750.30 | Avg Fitness:  1582.07 | Best Score:  30
Gen  243 | Best Fitness: 15392.30 | Avg Fitness:  1546.03 | Best Score:  30
Gen  244 | Best Fitness: 12967.30 | Avg Fitness:  1602.35 | Best Score:  30
Gen  245 | Best Fitness: 15167.70 | Avg Fitness:  1602.17 | Best Score:  30
Gen  246 | Best Fitness: 13558.50 | Avg Fitness:  1556.96 | Best Score:  30
Gen  247 | Best Fitness: 14942.40 | Avg Fitness:  1523.64 | Best Score:  30
Gen  248 | Best Fitness: 14039.40 | Avg Fitness:  1485.20 | Best Score:  30
Gen  249 | Best Fitness: 16625.90 | Avg Fitness:  1495.62 | Best Score:  30
Gen  250 | Best Fitness: 13009.30 | Avg Fitness:  1446.71 | Best Score:  30
  -> Gen 250 completed in 0.14s | Networks: min=16 max=84 avg=65
Gen  251 | Best Fitness: 14849.80 | Avg Fitness:  1397.64 | Best Score:  30
Gen  252 | Best Fitness: 15780.90 | Avg Fitness:  1409.88 | Best Score:  30
Gen  253 | Best Fitness: 15265.10 | Avg Fitness:  1385.31 | Best Score:  30
Gen  254 | Best Fitness: 16825.80 | Avg Fitness:  1391.34 | Best Score:  30
Gen  255 | Best Fitness: 17409.70 | Avg Fitness:  1446.18 | Best Score:  30
Gen  256 | Best Fitness: 16991.70 | Avg Fitness:  1437.63 | Best Score:  30
Gen  257 | Best Fitness: 19050.80 | Avg Fitness:  1371.57 | Best Score:  30
Gen  258 | Best Fitness: 14723.60 | Avg Fitness:  1344.02 | Best Score:  30
Gen  259 | Best Fitness: 16003.20 | Avg Fitness:  1359.03 | Best Score:  30
Gen  260 | Best Fitness: 16087.10 | Avg Fitness:  1366.68 | Best Score:  30
Gen  261 | Best Fitness: 19333.80 | Avg Fitness:  1422.72 | Best Score:  30
Gen  262 | Best Fitness: 19965.40 | Avg Fitness:  1543.42 | Best Score:  30
Gen  263 | Best Fitness: 16479.70 | Avg Fitness:  1484.84 | Best Score:  30
Gen  264 | Best Fitness: 19870.90 | Avg Fitness:  1364.05 | Best Score:  30
Gen  265 | Best Fitness: 19870.90 | Avg Fitness:  1328.92 | Best Score:  30
Gen  266 | Best Fitness: 19870.90 | Avg Fitness:  1391.54 | Best Score:  30
Gen  267 | Best Fitness: 19870.90 | Avg Fitness:  1324.03 | Best Score:  30
Gen  268 | Best Fitness: 19870.90 | Avg Fitness:  1330.61 | Best Score:  30
Gen  269 | Best Fitness: 17419.80 | Avg Fitness:  1395.64 | Best Score:  30
Gen  270 | Best Fitness: 18341.40 | Avg Fitness:  1458.78 | Best Score:  30
Gen  271 | Best Fitness: 14133.00 | Avg Fitness:  1404.16 | Best Score:  30
Gen  272 | Best Fitness: 15690.10 | Avg Fitness:  1423.20 | Best Score:  30
Gen  273 | Best Fitness: 15174.90 | Avg Fitness:  1378.47 | Best Score:  30
Gen  274 | Best Fitness: 18855.80 | Avg Fitness:  1426.35 | Best Score:  30
Gen  275 | Best Fitness: 17985.20 | Avg Fitness:  1509.29 | Best Score:  30
Gen  276 | Best Fitness: 19070.80 | Avg Fitness:  1522.46 | Best Score:  30
Gen  277 | Best Fitness: 15802.60 | Avg Fitness:  1618.19 | Best Score:  30
Gen  278 | Best Fitness: 17474.20 | Avg Fitness:  1609.84 | Best Score:  30
Gen  279 | Best Fitness: 16620.70 | Avg Fitness:  1676.71 | Best Score:  30
Gen  280 | Best Fitness: 15983.80 | Avg Fitness:  1665.57 | Best Score:  30
Gen  281 | Best Fitness: 16200.40 | Avg Fitness:  1746.81 | Best Score:  30
Gen  282 | Best Fitness: 18857.00 | Avg Fitness:  1685.57 | Best Score:  30
Gen  283 | Best Fitness: 17466.30 | Avg Fitness:  1695.83 | Best Score:  30
Gen  284 | Best Fitness: 17061.30 | Avg Fitness:  1854.74 | Best Score:  30
Gen  285 | Best Fitness: 17199.80 | Avg Fitness:  1701.34 | Best Score:  30
Gen  286 | Best Fitness: 17696.30 | Avg Fitness:  1789.86 | Best Score:  30
Gen  287 | Best Fitness: 15638.50 | Avg Fitness:  1851.74 | Best Score:  30
Gen  288 | Best Fitness: 18393.30 | Avg Fitness:  1841.70 | Best Score:  30
